dpto_name,mpio_name,unique_id,razon_social,year_matricula,year_cancela,year_renueva,ciiu1,ciiu2,ciiu3,ciiu4,Activos M.,Ingresos M.,Pasivos M.,Patrimonio M.
VALLE,CALI,1119698,PIZZERIA RESTAURANTE SALERNO HERMANOS,1972,,2023,5611,"","","",10316,3074,-804,9512
VALLE,CALI,1139228,AMOBLADOS MELENDEZ SOCIEDAD DE HECHO,1978,,2023,5530,"","","",13181,3858,-1350,11831
VALLE,CALI,1143254,INVERSIONES VELAR,1979,,2023,6820,4111,"","",8204,5686,-2940,5264
VALLE,CALI,1150497,CESAR A OSORIO M & CIA,1980,,2023,4774,"","","",8874,1192,-2381,6493
VALLE,CALI,1173080,AMOBLADOS DORESKY,1984,,2023,5530,"","","",15994,3643,309,16303
VALLE,CALI,1207185,COLEGIO PORFIRIO BARBA JACOB,1988,,2023,8512,8513,8521,"",10028,5396,-1939,8089
VALLE,CALI,1241133,COLEGIO MIXTO PEDRO MORALES PINO,1991,,2023,8513,8512,8522,8521,14084,3280,691,14775
VALLE,CALI,1249927,PQUIM LTDA.,1992,,2023,4664,"","","",6404,6245,-923,5481
VALLE,CALI,1253021,SALCHICHERIA CALI,1993,2024,2023,4723,4729,"","",9524,4786,-2632,6892
VALLE,CALI,1258622,JAIRO E.CIFUENTES T. PROVALLE.,1994,,2023,4721,"","","",10946,2892,-3613,7333
VALLE,CALI,1265164,ALVARO ECHEVERRY V Y CIA LTDA,1996,,2023,0510,"","","",10750,6471,1383,12133
VALLE,CALI,1269518,INSTITUTO PEDAGOGICO EMANUEL,1997,,2023,8512,8513,8521,5613,7486,5406,-2953,4533
VALLE,CALI,1274150,CORPORACION EDUCATIVA LICEO COMERCIAL LA MILAGROSA,1999,,2023,8512,8521,8513,8522,10048,5274,-1320,8728
VALLE,CALI,1278659,CENTRO EDUCATIVO HOMBRES DEL FUTURO,2000,2023,2023,8530,4769,"","",7306,7667,-3339,3967
VALLE,CALI,1280039,OLARSYSTEM LTDA,2000,,2023,4741,"","","",11782,2124,-1579,10203
VALLE,CALI,1280822,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA - CALI,2000,,2023,3514,"","","",12712,-938,-384,12328
VALLE,CALI,1285207,TRUST-ME,2001,2023,2023,5320,4923,"","",4438,8705,246,4684
VALLE,CALI,1294301,J.C.T.  SAS,2003,,2023,0129,"","","",13089,5621,-3748,9341
VALLE,CALI,1294806,EDITORA URBANA LTDA,2003,,2023,7310,6312,"","",6897,5258,-1445,5452
VALLE,CALI,1296213,DELTA CAICEDO & CIA S. EN C.,2003,2023,2023,7010,"","","",11137,4645,-3229,7908
VALLE,CALI,1297966,FENIX PRODUCCION Y EVENTOS,2003,,2023,9008,5619,7730,4742,11650,6734,-1651,9999
VALLE,CALI,1301788,RAMSAI #1  CONFECCIONES kAM&CO,2004,,2023,4771,1410,4642,"",9500,7197,1960,11460
VALLE,CALI,1306276,TALLER C.F AUTOS,2004,,2023,4520,"","","",8387,2065,-2359,6028
VALLE,CALI,1306334,EMGELEC SAS,2004,,2023,7112,"","","",10413,3222,-3518,6895
VALLE,CALI,1306354,COLEGIO MIXTO FRANCISCO ELADIO RAMIREZ,2004,,2023,8512,8513,8521,8522,11097,8722,-1887,9210
VALLE,CALI,1311158,TRIANGEL,2005,,2023,6810,"","","",12208,2768,698,12906
VALLE,CALI,1316252,PRODUCTORA Y COMERCIALIZADORA EL TREBOL,2005,,2023,3290,"","","",4869,3938,-2815,2054
VALLE,CALI,1328625,ASODISVALLE - INSTITUTO DE EDUCACION ESPECIAL,2006,,2023,8512,8560,"","",5909,6958,1570,7479
VALLE,CALI,1332087,VARIEDADES EL PIBE.COM,2007,,2023,8299,8211,5310,5320,13576,3788,-3444,10132
VALLE,CALI,1338858,JOYERIA RICHARD,2007,,2023,3210,"","","",12617,8274,-316,12301
